source_url,source_slug,name,row_count,pages_scraped,oldest_date,status,error
https://www.edgeprop.sg/condo-apartment/buona-lodge,buona-lodge,BUONA LODGE,3,2,2004-05-26,ok,
https://www.edgeprop.sg/condo-apartment/buona-vista-gardens,buona-vista-gardens,BUONA VISTA GARDENS,4,2,2008-02-18,ok,
https://www.edgeprop.sg/condo-apartment/burlington-square,burlington-square,BURLINGTON SQUARE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/butterworth-33,butterworth-33,BUTTERWORTH 33,2,2,2007-01-26,ok,
https://www.edgeprop.sg/condo-apartment/butterworth-8,butterworth-8,BUTTERWORTH 8,39,5,2017-03-10,ok,
https://www.edgeprop.sg/condo-apartment/butterworth-view,butterworth-view,BUTTERWORTH VIEW,8,2,2011-07-15,ok,
https://www.edgeprop.sg/condo-apartment/cadence-light,cadence-light,CADENCE LIGHT,6,2,2008-02-19,ok,
https://www.edgeprop.sg/condo-apartment/cai-garden,cai-garden,CAI GARDEN,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/cai-yuan-mansions,cai-yuan-mansions,CAI YUAN MANSIONS,0,1,2002-06-03,ok,
https://www.edgeprop.sg/condo-apartment/cairnhill-apartment,cairnhill-apartment,CAIRNHILL APARTMENT,0,1,1996-11-09,ok,
https://www.edgeprop.sg/condo-apartment/cairnhill-court,cairnhill-court,CAIRNHILL COURT,0,1,2000-02-21,ok,
https://www.edgeprop.sg/condo-apartment/cairnhill-crest,cairnhill-crest,CAIRNHILL CREST,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/cairnhill-gardens,cairnhill-gardens,CAIRNHILL GARDENS,0,1,1996-01-04,ok,
https://www.edgeprop.sg/condo-apartment/cairnhill-heights,cairnhill-heights,CAIRNHILL HEIGHTS,0,1,2006-02-13,ok,
https://www.edgeprop.sg/condo-apartment/cairnhill-mansions,cairnhill-mansions,CAIRNHILL MANSIONS,0,1,2007-01-12,ok,
https://www.edgeprop.sg/condo-apartment/cairnhill-plaza,cairnhill-plaza,CAIRNHILL PLAZA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/cairnhill-residences,cairnhill-residences,CAIRNHILL RESIDENCES,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/calarasi,calarasi,CALARASI,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/calin-mansions,calin-mansions,CALIN MANSIONS,1,1,1995-01-01,ok,
https://www.edgeprop.sg/condo-apartment/calisay,calisay,CALISAY,0,1,2006-09-29,ok,
https://www.edgeprop.sg/condo-apartment/callidora-ville,callidora-ville,CALLIDORA VILLE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/calrose-garden,calrose-garden,CALROSE GARDEN,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/camay-court,camay-court,CAMAY COURT,0,1,1999-06-04,ok,
https://www.edgeprop.sg/condo-apartment/cambridge-village,cambridge-village,CAMBRIDGE VILLAGE,7,2,1999-08-01,ok,
https://www.edgeprop.sg/condo-apartment/camellia-lodge,camellia-lodge,CAMELLIA LODGE,5,2,2007-12-27,ok,
https://www.edgeprop.sg/condo-apartment/camelodge,camelodge,CAMELODGE,5,2,1999-02-27,ok,
https://www.edgeprop.sg/condo-apartment/camelot-by-the-water,camelot-by-the-water,CAMELOT BY-THE-WATER,21,4,2012-09-07,ok,
https://www.edgeprop.sg/condo-apartment/canary-ville,canary-ville,CANARY VILLE,5,2,2007-07-02,ok,
https://www.edgeprop.sg/condo-apartment/canberlin-apartments,canberlin-apartments,CANBERLIN APARTMENTS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/canberlin-lodge,canberlin-lodge,CANBERLIN LODGE,7,2,2007-01-19,ok,
https://www.edgeprop.sg/condo-apartment/canberra-residences,canberra-residences,CANBERRA RESIDENCES,109,12,2018-07-12,ok,
https://www.edgeprop.sg/condo-apartment/candeville,candeville,CANDEVILLE,2,2,1996-03-01,ok,
https://www.edgeprop.sg/condo-apartment/cannaville,cannaville,CANNAVILLE,4,2,1995-05-01,ok,
https://www.edgeprop.sg/condo-apartment/canne-lodge,canne-lodge,CANNE LODGE,9,2,2015-10-09,ok,
https://www.edgeprop.sg/condo-apartment/cantiz-rambai,cantiz-rambai,CANTIZ @ RAMBAI,5,2,2008-06-25,ok,
https://www.edgeprop.sg/condo-apartment/carabelle,carabelle,CARABELLE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/cardiff-court,cardiff-court,CARDIFF COURT,0,1,2005-11-18,ok,
https://www.edgeprop.sg/condo-apartment/cardiff-residence,cardiff-residence,CARDIFF RESIDENCE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/caribbean-at-keppel-bay,caribbean-at-keppel-bay,CARIBBEAN AT KEPPEL BAY,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/carissa-park-condominium,carissa-park-condominium,CARISSA PARK CONDOMINIUM,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/carlisle-lodge,carlisle-lodge,CARLISLE LODGE,0,1,2002-12-20,ok,
https://www.edgeprop.sg/condo-apartment/carlton-terrace,carlton-terrace,CARLTON TERRACE,0,1,1996-01-08,ok,
https://www.edgeprop.sg/condo-apartment/carlyx-green,carlyx-green,CARLYX GREEN,2,2,2006-08-31,ok,
https://www.edgeprop.sg/condo-apartment/carlyx-residence,carlyx-residence,CARLYX RESIDENCE,3,2,2006-07-05,ok,
https://www.edgeprop.sg/condo-apartment/carmi-mansions,carmi-mansions,CARMI MANSIONS,1,2,1995-10-30,ok,
https://www.edgeprop.sg/condo-apartment/casa-aerata,casa-aerata,CASA AERATA,17,3,2017-08-29,ok,
