Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WESTVILLE,"2,293,632","1,622.13","1,414",Feb-24,WESTWOOD AVENUE,Resale,Land,150.7,"15,220",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,000,000","1,614.6","1,239",Feb-24,WESTWOOD CRESCENT,Resale,Land,150,"13,333",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"1,900,000","1,833.11","1,036",Jan-24,WESTWOOD TERRACE,Resale,Land,170.3,"11,157",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,240,000","1,610.29","1,391",Nov-23,WESTWOOD CRESCENT,Resale,Land,149.6,"14,973",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LAKESIDE GROVE,"2,338,000","1,613.52","1,449",Nov-23,CORPORATION RISE,Resale,Land,149.9,"15,597",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
YUNNAN GARDENS,"3,680,000","2,549.99","1,443",Oct-23,YUNNAN DRIVE 1,Resale,Land,236.9,"15,534",-,Terrace House,1,Freehold,22,Outside Central Region,-
WESTVILLE,"2,020,000","1,618.91","1,248",Oct-23,WESTWOOD CRESCENT,Resale,Land,150.4,"13,431",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,280,000","1,879.39","1,213",Sep-23,WESTWOOD DRIVE,Resale,Land,174.6,"13,058",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"7,000,000","6,564.96","1,066",Sep-23,YUNNAN WALK 1,Resale,Land,609.9,"11,477",-,Detached House,1,Freehold,22,Outside Central Region,-
LAKESIDE GROVE,"2,150,000","1,635.05","1,315",Aug-23,CORPORATION WALK,Resale,Land,151.9,"14,154",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTWOOD PARK,"2,180,000","1,614.6","1,350",Jul-23,WESTWOOD CRESCENT,Resale,Land,150,"14,533",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,268,000","1,855.71","1,222",Jul-23,WESTWOOD DRIVE,Resale,Land,172.4,"13,155",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,023,000","1,612.45","1,255",Jul-23,WESTWOOD CRESCENT,Resale,Land,149.8,"13,505",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
