stop_code,lat,lon,route_count,stop_name
16071,1.2913,103.77117,8,Opp Pasir Panjang PO
16079,1.29141,103.7713,7,Bef Pasir Panjang PO
16081,1.29196,103.76866,8,Aft Palm Green Condo
16089,1.29201,103.76908,7,Aft Clementi Rd
16091,1.29948,103.77923,5,NUS Sports Centre
16099,1.30061,103.77815,5,Opp NUS Sports Centre
16101,1.28924,103.77969,1,Inst of Micro-electronics
16109,1.28911,103.77951,1,The Alpha
16111,1.28701,103.78283,1,Aries
16119,1.28698,103.78261,1,Teletech Pk
16121,1.28651,103.78345,1,Galen
16131,1.29488,103.76935,4,Opp Kent Ridge Ter
16139,1.29538,103.76975,3,Bef Kent Ridge Ter
16141,1.29787,103.7696,4,Tentera Diraja Mque
16149,1.29782,103.76994,6,SDE3
16151,1.30076,103.76994,4,The Japanese Pr Sch
16159,1.3006,103.77017,6,Coll of Design & Engrg
16161,1.30108,103.77369,1,NUS Museums
16169,1.30098,103.7727,4,NUS Raffles Hall
16171,1.2989,103.77438,2,Yusof Ishak Hse
16179,1.29898,103.77418,6,Opp Yusof Ishak Hse
16181,1.29657,103.77254,2,Ctrl Lib
16189,1.29723,103.77276,6,Information Technology
16191,1.29614,103.77037,2,Aft Kent Ridge Dr
16199,1.29639,103.77073,6,Aft Architecture Dr
16201,1.2813,103.78411,7,Barossa Gdns
16209,1.28159,103.78401,6,Horizon Residences
16211,1.27942,103.78358,2,Wharves Bldg
16219,1.28016,103.78362,2,Opp Wharves Bldg
16221,1.28298,103.78118,2,Opp Haw Par Villa Stn
16229,1.28301,103.7816,2,Haw Par Villa Stn
16231,1.28636,103.77853,2,Wholesale Ctr
16239,1.28644,103.77893,2,Opp Wholesale Ctr
16241,1.2891,103.77353,2,Bef West Coast Pk
16249,1.28928,103.77401,2,Bef Wholesale Ctr
16891,1.30982,103.76816,1,Opp Blk 420A
16991,1.30778,103.76989,1,Opp Nan Hua High Sch
17009,1.31492,103.76412,16,Clementi Int
17011,1.29387,103.76688,5,Opp Varsity Pk
17019,1.2938,103.76705,5,Varsity Pk
17021,1.29674,103.76691,5,Waseda S Snr High Sch
17029,1.29695,103.7671,5,Opp Waseda S Snr High Sch
17031,1.30172,103.76568,6,Kent Ridge Sec Sch
17039,1.30153,103.76606,6,Opp Kent Ridge Sec Sch
17041,1.30421,103.76456,7,Blk 726 Clementi West Mkt
17049,1.30471,103.7646,6,Blk 601
17051,1.31726,103.7624,5,Opp Regent Pk
17059,1.31694,103.7617,6,Regent Pk
17061,1.30776,103.76181,6,Blk 701
17069,1.30777,103.76214,6,Opp Blk 701
17071,1.30892,103.76044,6,Blk 513
17079,1.30968,103.75999,6,Blk 512
17081,1.2995,103.76458,1,Aft West Coast Highway
17089,1.29968,103.76543,1,Bef West Coast Cres
17091,1.30905,103.77158,4,Aft Clementi Ave 1
