profile_id,estate,tenure,eligible,rank,profile_score,soft_weight_covered,filter_reasons,borderline_flags,persona,horizon,life_path,liveability_score,liveability_band,life_path_end_score,life_path_delta,value_score,value_band,value_basis,value_n,employment_score,employment_band,lease_score,lease_band,provision_score,provision_band,archetype,measured_only
landed-family-amenity-upside,TOA PAYOH,landed,True,2,3.979,0.909,,,Lifestyle,T5,upgrader,4.005,B+,4.005,0.408,4.0047463830704215,B+,direct,45.0,3.62,B,,,4.13,,B,False
landed-family-amenity-upside,BUKIT MERAH,landed,True,3,3.908,0.909,,,Lifestyle,T5,upgrader,3.754,B,3.754,-0.193,4.03189982395794,B+,direct,66.0,4.22,B+,,,3.99,,B,False
landed-family-amenity-upside,ANG MO KIO,landed,True,4,3.869,0.909,,,Lifestyle,T5,upgrader,3.924,B,3.924,0.381,4.044723418934887,B+,direct,340.0,3.25,C,,,3.69,,B,False
landed-family-amenity-upside,SEMBAWANG,landed,True,5,3.807,0.909,,,Lifestyle,T5,upgrader,3.721,B,3.721,1.009,4.356643490169109,B+,direct,316.0,2.45,F,,,3.95,,B,False
landed-family-amenity-upside,JURONG EAST,landed,True,6,3.799,0.909,,,Lifestyle,T5,upgrader,3.687,B,3.687,1.112,4.012752023873327,B+,direct,170.0,3.88,B,,,3.64,,A,False
landed-family-amenity-upside,GEYLANG,landed,True,7,3.711,0.909,,,Lifestyle,T5,upgrader,3.447,C,3.447,0.555,4.00104179302479,B+,direct,393.0,4.12,B+,,,3.75,,B,False
landed-family-amenity-upside,TAMPINES,landed,True,8,3.707,0.909,,,Lifestyle,T5,upgrader,3.654,B,3.654,1.026,3.8860256053588795,B,direct,95.0,3.35,C,,,3.79,,A,False
landed-family-amenity-upside,BOON KENG,landed,True,9,3.681,0.909,,,Lifestyle,T5,upgrader,3.657,B,3.657,-0.198,3.565988376256982,B,direct,30.0,3.92,B,,,3.91,,F,False
landed-family-amenity-upside,BUKIT TIMAH,landed,True,10,3.633,0.909,,,Lifestyle,T5,upgrader,3.742,B,3.742,1.053,3.292394532378983,C,direct,1239.0,3.88,B,,,3.86,,D,False
landed-family-amenity-upside,CHOA CHU KANG,landed,True,11,3.623,0.909,,,Lifestyle,T5,upgrader,3.55,B,3.55,0.053,3.8200965552705317,B,direct,415.0,3.35,C,,,3.67,,B,False
landed-family-amenity-upside,CLEMENTI,landed,True,12,3.605,0.909,,,Lifestyle,T5,upgrader,3.403,C,3.403,0.897,3.67479872260758,B,direct,313.0,4.28,B+,,,3.73,,B,False
landed-family-amenity-upside,TAMPINES WEST,landed,True,13,3.594,0.909,,,Lifestyle,T5,upgrader,3.463,C,3.463,-0.102,3.8656265208163134,B,proxy_from:TAMPINES,95.0,3.3,C,,,3.73,,A,False
landed-family-amenity-upside,BISHAN,landed,True,14,3.542,0.909,,,Lifestyle,T5,upgrader,3.503,B,3.503,-0.008,3.5073222405225812,B,direct,730.0,3.73,B,,,3.65,,B,False
landed-family-amenity-upside,CANBERRA,landed,True,15,3.495,0.909,,,Lifestyle,T5,upgrader,3.406,C,3.406,0.91,3.952643968524354,B,proxy_from:SEMBAWANG,316.0,2.45,F,,,3.61,,B,False
