project_name,postal_district,planning_area,property_type,tenure,sale_date,sale_month,type_of_sale,price,area_sqft,area_sqm,unit_price_psf,floor_level,unit_floor,address,bedrooms,sources,match_method
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,1706000,883.0,82.0,1932,01 to 05,3,53 Canberra Crescent #03-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,1761700,883.0,82.0,1995,06 to 10,6,57 Canberra Crescent #06-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-15,2025-08,New Sale,2157100,1163.0,108.0,1855,01 to 05,3,53 Canberra Crescent #03-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-16,2025-08,New Sale,1327000,667.0,62.0,1990,01 to 05,4,55 Canberra Crescent #04-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-16,2025-08,New Sale,1365900,667.0,62.0,2048,01 to 05,5,57 Canberra Crescent #05-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-16,2025-08,New Sale,1736000,883.0,82.0,1966,11 to 15,11,51 Canberra Crescent #11-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-16,2025-08,New Sale,1748600,883.0,82.0,1980,01 to 05,3,57 Canberra Crescent #03-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-16,2025-08,New Sale,1787200,872.0,81.0,2050,11 to 15,12,55 Canberra Crescent #12-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-17,2025-08,New Sale,1093100,570.0,53.0,1918,01 to 05,1,53 Canberra Crescent #01-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-17,2025-08,New Sale,1330100,667.0,62.0,1994,01 to 05,5,51 Canberra Crescent #05-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-17,2025-08,New Sale,1340100,667.0,62.0,2009,06 to 10,8,51 Canberra Crescent #08-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-17,2025-08,New Sale,1372700,667.0,62.0,2058,06 to 10,7,55 CANBERRA CRESCENT #07-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-17,2025-08,New Sale,1527400,797.0,74.0,1916,01 to 05,4,51 Canberra Crescent #04-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-17,2025-08,New Sale,1601400,797.0,74.0,2009,01 to 05,4,55 Canberra Crescent #04-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-17,2025-08,New Sale,1743612,872.0,81.0,2000,11 to 15,12,53 Canberra Crescent #12-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-18,2025-08,New Sale,1090000,570.0,53.0,1912,01 to 05,2,51 CANBERRA CRESCENT #02-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-18,2025-08,New Sale,1333600,667.0,62.0,1999,06 to 10,6,57 CANBERRA CRESCENT #06-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-18,2025-08,New Sale,1362500,667.0,62.0,2043,,4,55 CANBERRA CRESCENT #04-XX,2,edgeprop_only,edgeprop_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-18,2025-08,New Sale,1554600,797.0,74.0,1951,01 to 05,2,53 CANBERRA CRESCENT #02-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-19,2025-08,New Sale,1527000,797.0,74.0,1916,06 to 10,9,51 CANBERRA CRESCENT #09-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-19,2025-08,New Sale,1597400,797.0,74.0,2004,,3,57 CANBERRA CRESCENT #03-XX,3,edgeprop_only,edgeprop_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-19,2025-08,New Sale,1606300,797.0,74.0,2015,06 to 10,10,55 CANBERRA CRESCENT #10-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-19,2025-08,New Sale,1701700,883.0,82.0,1927,01 to 05,2,53 CANBERRA CRESCENT #02-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-20,2025-08,New Sale,1337000,667.0,62.0,2004,06 to 10,7,57 CANBERRA CRESCENT #07-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-20,2025-08,New Sale,1530000,797.0,74.0,1920,06 to 10,10,51 CANBERRA CRESCENT #10-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-20,2025-08,New Sale,1985200,990.0,92.0,2005,06 to 10,9,51 CANBERRA CRESCENT #09-XX,3,both,group+floor
