project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,QUEENSTOWN,1.281860960379268,103.8305621110602,matched,105,THE REGENCY AT TIONG BAHRU CHAY YAN STREET,THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,36 CHAY YAN STREET THE REGENCY AT TIONG BAHRU SINGAPORE 169905,169905,"project,street"
TIONG BAHRU ESTATE,YONG SIAK STREET,03,QUEENSTOWN,1.28230406549113,103.8303585614807,matched,105,TIONG BAHRU ESTATE YONG SIAK STREET,TIONG BAHRU ESTATE,YONG SIAK STREET,1G YONG SIAK STREET TIONG BAHRU ESTATE SINGAPORE 168641,168641,"project,street"
TWIN REGENCY,KIM TIAN ROAD,03,QUEENSTOWN,1.284776655207778,103.8284589765843,matched,105,TWIN REGENCY KIM TIAN ROAD,TWIN REGENCY,KIM TIAN ROAD,28 KIM TIAN ROAD TWIN REGENCY SINGAPORE 169278,169278,"project,street"
YONG SIAK COURT,YONG SIAK STREET,03,QUEENSTOWN,1.282635885829966,103.8301863279095,matched,105,YONG SIAK COURT YONG SIAK STREET,YONG SIAK COURT,YONG SIAK STREET,11 YONG SIAK STREET YONG SIAK COURT SINGAPORE 168646,168646,"project,street"
YONG SIAK VIEW,YONG SIAK STREET,03,QUEENSTOWN,1.282834476540658,103.8300770083848,matched,105,YONG SIAK VIEW YONG SIAK STREET,YONG SIAK VIEW,YONG SIAK STREET,23 YONG SIAK STREET YONG SIAK VIEW SINGAPORE 168652,168652,"project,street"
ZYON GRAND,KIM SENG ROAD,03,QUEENSTOWN,1.290572223189504,103.8336630723267,matched,105,ZYON GRAND KIM SENG ROAD,ZYON GRAND (U/C),KIM SENG ROAD,3 KIM SENG ROAD ZYON GRAND (U/C) SINGAPORE 169558,169558,"project,street"
CAPE ROYALE,COVE WAY,04,BUKIT MERAH,1.24140780893922,103.8393876194715,matched,105,CAPE ROYALE COVE WAY,CAPE ROYALE,COVE WAY,17 COVE WAY CAPE ROYALE SINGAPORE 098205,098205,"project,street"
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,BUKIT MERAH,1.267360938962451,103.8146047041647,matched,105,CARIBBEAN AT KEPPEL BAY KEPPEL BAY DRIVE,CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,44 KEPPEL BAY DRIVE CARIBBEAN AT KEPPEL BAY SINGAPORE 098657,098657,"project,street"
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,BUKIT MERAH,1.264890108299282,103.8164540881082,matched,105,CORALS AT KEPPEL BAY KEPPEL BAY DRIVE,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,1 KEPPEL BAY DRIVE CORALS AT KEPPEL BAY SINGAPORE 098012,098012,"project,street"
HARBOUR SUITES,KAMPONG BAHRU ROAD,04,BUKIT MERAH,1.272242892884647,103.827478990765,matched,105,HARBOUR SUITES KAMPONG BAHRU ROAD,HARBOUR SUITES,KAMPONG BAHRU ROAD,522 KAMPONG BAHRU ROAD HARBOUR SUITES SINGAPORE 099454,099454,"project,street"
HARBOUR VIEW TOWERS,TELOK BLANGAH DRIVE,04,BUKIT MERAH,1.272012388483132,103.8085143168802,matched,105,HARBOUR VIEW TOWERS TELOK BLANGAH DRIVE,HARBOUR VIEW TOWERS,TELOK BLANGAH DRIVE,21 TELOK BLANGAH DRIVE HARBOUR VIEW TOWERS SINGAPORE 109258,109258,"project,street"
