project_name,street_name,postal_district,planning_area,lat,lon,match_status,primary_1km_count,primary_1km_ranked_count,top_primary_1km_count,primary_1km_schools,best_primary_1km_school,best_primary_1km_rank,best_primary_1km_distance_m,best_primary_1km_metric,best_primary_1km_source_year,secondary_2km_count,secondary_2km_ranked_count,top_secondary_2km_count,best_secondary_2km_school,best_secondary_2km_rank,best_secondary_2km_distance_m,best_secondary_2km_metric,best_secondary_2km_source_year,jc_5km_count,jc_5km_ranked_count,top_jc_5km_count,best_jc_5km_school,best_jc_5km_rank,best_jc_5km_distance_m,best_jc_5km_metric,best_jc_5km_source_year,has_primary_1km,has_ranked_primary_1km
YONG SIAK COURT,YONG SIAK STREET,3,QUEENSTOWN,1.282635885829966,103.8301863279095,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; CHIJ (KELLOCK),,,,,,4,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4565,IB 6,2025.0,True,False
YONG SIAK VIEW,YONG SIAK STREET,3,QUEENSTOWN,1.282834476540658,103.8300770083848,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; CHIJ (KELLOCK),,,,,,4,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4542,IB 6,2025.0,True,False
ZYON GRAND,KIM SENG ROAD,3,QUEENSTOWN,1.290572223189504,103.8336630723267,matched,1,0,0,RIVER VALLEY PRIMARY SCHOOL,,,,,,3,0,0,,,,,,4,2,2,HWA CHONG INSTITUTION,2,4982,Arts 5; Science 4,2025.0,True,False
CAPE ROYALE,COVE WAY,4,BUKIT MERAH,1.24140780893922,103.8393876194715,matched,0,0,0,,,,,,,0,0,0,,,,,,0,0,0,,,,,,False,False
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,4,BUKIT MERAH,1.267360938962451,103.8146047041647,matched,0,0,0,,,,,,,1,0,0,,,,,,0,0,0,,,,,,False,False
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,4,BUKIT MERAH,1.264890108299282,103.8164540881082,matched,0,0,0,,,,,,,1,0,0,,,,,,0,0,0,,,,,,False,False
HARBOUR SUITES,KAMPONG BAHRU ROAD,4,BUKIT MERAH,1.272242892884647,103.827478990765,matched,2,0,0,CHIJ (KELLOCK); RADIN MAS PRIMARY SCHOOL,,,,,,2,0,0,,,,,,1,0,0,,,,,,True,False
HARBOUR VIEW TOWERS,TELOK BLANGAH DRIVE,4,BUKIT MERAH,1.272012388483132,103.8085143168802,matched,1,0,0,BLANGAH RISE PRIMARY SCHOOL,,,,,,2,0,0,,,,,,2,2,2,ANGLO-CHINESE SCHOOL (INDEPENDENT),3,4713,IB 5,2025.0,True,False
HARBOURLIGHTS,TELOK BLANGAH ROAD,4,BUKIT MERAH,1.266185899945553,103.8227446614266,matched,1,0,0,RADIN MAS PRIMARY SCHOOL,,,,,,1,0,0,,,,,,1,0,0,,,,,,True,False
MARINA COLLECTION,COVE DRIVE,4,BUKIT MERAH,1.242974246360536,103.8391646412517,matched,0,0,0,,,,,,,0,0,0,,,,,,0,0,0,,,,,,False,False
MOUNT FABER LODGE,MOUNT FABER ROAD,4,BUKIT MERAH,1.268900320122818,103.8246355392688,matched,2,0,0,RADIN MAS PRIMARY SCHOOL; CHIJ (KELLOCK),,,,,,1,0,0,,,,,,1,0,0,,,,,,True,False
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,BUKIT MERAH,1.267249548448922,103.8109952878923,matched,0,0,0,,,,,,,1,0,0,,,,,,1,1,1,ANGLO-CHINESE JUNIOR COLLEGE,9,4895,Arts 9; Science 8,2025.0,False,False
SEASCAPE,COVE WAY,4,BUKIT MERAH,1.239948546908791,103.8382528117958,matched,0,0,0,,,,,,,0,0,0,,,,,,0,0,0,,,,,,False,False
SEVEN PALMS SENTOSA COVE,COVE DRIVE,4,BUKIT MERAH,1.240058485469285,103.8309363222582,matched,0,0,0,,,,,,,0,0,0,,,,,,0,0,0,,,,,,False,False
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,4,BUKIT MERAH,1.272497621504916,103.8074253701429,matched,1,0,0,BLANGAH RISE PRIMARY SCHOOL,,,,,,2,0,0,,,,,,2,2,2,ANGLO-CHINESE SCHOOL (INDEPENDENT),3,4593,IB 5,2025.0,True,False
TERESA VILLE,LOWER DELTA ROAD,4,BUKIT MERAH,1.276521347318216,103.8245500143104,matched,3,0,0,RADIN MAS PRIMARY SCHOOL; CHIJ (KELLOCK); ZHANGDE PRIMARY SCHOOL,,,,,,3,0,0,,,,,,1,0,0,,,,,,True,False
THE AZURE,OCEAN DRIVE,4,BUKIT MERAH,1.251503820348993,103.8480250526626,matched,0,0,0,,,,,,,0,0,0,,,,,,0,0,0,,,,,,False,False
THE BERTH BY THE COVE,OCEAN DRIVE,4,BUKIT MERAH,1.249359672843684,103.8459986825141,matched,0,0,0,,,,,,,0,0,0,,,,,,0,0,0,,,,,,False,False
THE COAST AT SENTOSA COVE,OCEAN DRIVE,4,BUKIT MERAH,1.245288836349317,103.8435456565265,matched,0,0,0,,,,,,,0,0,0,,,,,,0,0,0,,,,,,False,False
